texto,categoria,urgencia,etiquetador,origen
Familias sin poder volver a sus casas exigen maquinaria y limpieza inmediata. Poza Rica no puede esperar más.,otro,media,nahum,real
Fuga de gas y escombros en Álamo Temapache Álamo Temapache sigue lidiando con inundaciones y escombros. La nueva emergencia es la evacuación del ejido Flores Magón debido a una peligrosa fuga de gas en la carretera.,otro,alta,nahum,real
¡Urgente! Niño atrapado en árbol tras desbordamiento del río Cazones en Poza Rica.,persona_en_riesgo,alta,nahum,real
Poza Rica amaneció bajo el agua El Río Cazones se desbordó y miles están atrapados,persona_en_riesgo,alta,nahum,real
Terribles momentos  por el desbordamiento del río Cazones que ha inundado varias zonas de la ciudad.,inundacion,alta,nahum,real
"Un autobús de la línea ADO se incendió en la autopista Córdoba-Veracruz, km 33, en Carrillo Puerto con dirección a Veracruz. Autoridades y cuerpos de emergencia trabajan para controlar la situación.",incendio,media,nahum,real
Se incendia inmueble en avenida Díaz Mirón de Veracruz; fuego habría sido provocado,incendio,media,nahum,real
Se hunde remolcador frente a Malecón de Veracruz,otro,media,nahum,real
Chocan camioneta y ambulancia frente a la Cruz Roja de Veracruz; hay dos lesionados,persona_en_riesgo,media,nahum,real
"Fuga en medio de la calle en Palma Real, piden atenderla para evitar un socavón",otro,media,nahum,real
socavón en la colonia Zaragoza de Veracruz,dano_estructural,media,nahum,real
Se incendia autobús en la Poza Rica-Veracruz,incendio,media,nahum,real
"Socavones, inundaciones y 3 mil casas afectadas en Veracruz tras el paso del frente frío 4 y la tormenta tropical Nadine. Hasta el momento, hay una persona fallecida y otra desaparecida.",persona_en_riesgo,alta,nahum,real
"Se escucha una fuerte balacera, pero… ¡No es Culiacán, es Tuxpan! Veracruz vive momentos de incertidumbre y caos",otro,alta,nahum,real
"Bloqueo e incendio de vehículos en carretera federal Tepetzintla-Tantoyucan, altura de San Sebastián, Veracruz. Autoridades en la escena investigando.",incendio,alta,nahum,real
Una Avioneta aterriza de Emergencia en la autopista Tuxpan-Veracruz. Los pasajeros resultaron ilesos.,otro,baja,nahum,real
"Aparece sin vida el cuerpo de un niño de 11 años de edad, se encontraba desaparecido desde este martes. El cuerpo del pequeño se encontró en la calle Nazareth de la colonia aviación de LasChoapas, envuelto en sabanas y embolsado.",persona_en_riesgo,alta,nahum,real
Múltiples heridos y varios muertos por explosión en complejo de Pemex en Coatzacoalcos Veracruz,persona_en_riesgo,alta,nahum,real
Lluvias provocan desbordamiento de río en este municipio de Veracruz; hay 60 viviendas afectadas por inundación,inundacion,media,nahum,real
"VORAZ INCENDIO CONSUME INMUEBLE | Los rescatistas iniciaron las maniobras de combate al fuego, mientras trabajaban para contener el avance de las llamas y evitar que se propagaran a viviendas cercanas.",incendio,media,nahum,real
Reportan severos daños en el desarrollo de Viviendas para el Bienestar en Veracruz tras intensas lluvias que ocasionaron un deslave. El complejo fue inaugurado en enero pasado. Se activó el Plan DN-III para auxiliar a los afectados.,deslave,media,nahum,real
¡Las lluvias pegaron fuerte! Un deslave dañó Viviendas del Bienestar en Veracruz,deslave,media,nahum,real
Las lluvias provocaron daños en las Casas del Bienestar en Veracruz.Banquetas y calles quedaron severamente afectadas apenas seis meses después de su inauguración.,deslave,media,nahum,real
Algo salió mal aquí y hay bastantes daños en estas CASAS DEL BIENESTAR que están construyendo en la zona norte de Veracruz,dano_estructural,media,nahum,real
¡ATENCIÓN! Las intensas LLUVIAS provocaron la CRECIDA de este río en Veracruz  y CIERRE TOTAL,inundacion,media,nahum,real
Las intensas lluvias de las últimas horas en diversas regiones de Veracruz dejaron inundaciones y deslaves con crecida de ríos y arroyos.,inundacion,media,nahum,real
Choque en el bulevar Córdoba–Fortín deja una persona lesionada,persona_en_riesgo,media,nahum,real
"En este momento se registra un incendio de pastizal en las inmediaciones del fraccionamiento Valle Alto, al poniente de la ciudad de Veracruz. Con las ráfagas de aire, este se está expandiendo por lo que vecinos piden ayuda para controlarlo y apagarlo.",incendio,media,nahum,real
CAOS EN DÍAZ MIRÓN: CHOQUE TERMINA CONTRA TRANSFORMADOR DE CFE  Y DEJA DOS HERIDOS,persona_en_riesgo,media,nahum,real
Patrulla y motocicleta chocan en Boca del Río; pareja resulta lesionada,persona_en_riesgo,media,nahum,real
INCENDIO CONSUME DOS HABITACIONES EN VIVIENDA DE RÍO MEDIO; SOLO SE REPORTAN DAÑOS MATERIALES,incendio,baja,nahum,real
𝗗𝗢𝗦 𝗠𝗘𝗡𝗢𝗥𝗘𝗦 𝗥𝗘𝗦𝗨𝗟𝗧𝗔𝗡 𝗟𝗘𝗦𝗜𝗢𝗡𝗔𝗗𝗢𝗦 𝗧𝗥𝗔𝗦 𝗗𝗘𝗥𝗥𝗔𝗣𝗘 𝗘𝗡 𝗟𝗔𝗦 𝗩𝗜𝗚𝗔𝗦,persona_en_riesgo,alta,nahum,real
CAMIÓN URBANO ATROPELLA A MUJER DE 50 AÑOS QUE PERMANECE DELICADA,persona_en_riesgo,alta,nahum,real
HOMBRE LESIONADO TRAS CONVULSIONAR CERCA DE LAS VÍAS DEL TREN EN FORTÍN,persona_en_riesgo,media,nahum,real
"MUJER MOTOCICLISTA DERRAPA EN LA CARRETERA VERACRUZ–XALAPA, A LA ALTURA DE LAS AMAPOLAS",persona_en_riesgo,media,nahum,real
CAMIONETA SE ATRAVIESA Y PROVOCA ACCIDENTE; MADRE E HIJA LESIONADAS,persona_en_riesgo,alta,nahum,real
𝑪𝑶𝑳𝑰𝑺𝑰𝑶́𝑵 𝑭𝑹𝑶𝑵𝑻𝑨𝑳 𝑬𝑵 𝑳𝑨 𝑭𝑬𝑫𝑬𝑹𝑨𝑳 140 𝑫𝑬𝑱𝑨 𝑫𝑶𝑺 𝑯𝑬𝑹𝑰𝑫𝑶𝑺,persona_en_riesgo,alta,nahum,real
Dos personas que viajaban en la moto resultaron lesionadas y requirieron atención de los cuerpos de emergencia que arribaron al punto.,persona_en_riesgo,alta,nahum,real
CAMIÓN FUERA DE CONTROL EN AVENIDA CUAUHTÉMOC: UNA DISTRACCIÓN AL VOLANTE DESATA CAOS FRENTE A LA POLICÍA NAVAL Y DEJA VARIOS PASAJEROS LESIONADOS,persona_en_riesgo,alta,nahum,real
Adulto mayor pierde la vida al volante y su camioneta termina impactada contra una vivienda en Xalapa,persona_en_riesgo,alta,nahum,real
"¡Inundación en vivienda! Reportan persistente inundación en un domicilio de la colonia Lomas San Miguel, cerca del penal. Debido a una coladera tapada, el agua ingresó a la sala. Los habitantes requieren apoyo de las autoridades correspondientes.",inundacion,alta,nahum,real
¡Se desborda el río Tolome! Intensas lluvias provocan afectaciones en Veracruz,inundacion,media,nahum,real
CHOQUE FRONTAL ENTRE TAXI Y AUTO PARTICULAR DEJA TRES LESIONADOS EN FORTÍN,persona_en_riesgo,alta,nahum,real
¡Tráiler termina volcado en la autopista 150D! Cierre parcial provoca caos vial rumbo a Córdoba,otro,media,nahum,real
Enjambre de abejas ataca a pareja de adultos mayores en San Andrés Tuxtla; ambos fueron hospitalizados,persona_en_riesgo,alta,nahum,real
Vuelca camioneta de pasajeros y todos sobreviven,otro,media,nahum,real
"El temporal lluvioso seguirá afectando a Veracruz con lluvias intensas, tormentas eléctricas y posible granizo. Autoridades alertan por riesgo de inundaciones, deslaves y crecida de ríos, por lo que piden extremar precauciones.",otro,baja,nahum,real
Atiende Gobierno de Veracruz incidencias por lluvias y refuerza prevención,otro,baja,nahum,real
Reportan 4T4QU3 4RM4D0 frente a restaurante en Veracruz,otro,alta,nahum,real
"Autopista Córdoba - Veracruz, km 7, dirección Córdoba. El incidente ha sido atendido. Tramo opera de manera normal. Maneja con precaución.",incendio,media,nahum,real
Incendio en subestación de CFE en Veracruz,incendio,media,nahum,real
Encuentran hombre S1N V1D4 en lote baldío del centro de Veracruz,persona_en_riesgo,alta,nahum,real
"Les hago llegar el reporte de un hundimiento que se encuentra en la esquina de las calles Netzahuacoyotl y Arista, en la colonia Centro. Esta situación representa un peligro para vecinos y automovilistas que pasan por la zona, ya nosotros como vecinos colocamos ramas, palos y bolsas alrededor del socavón para señalizarlo y evitar que alguna persona pueda sufrir un accidente.",dano_estructural,media,nahum,real
"Ayuda comunitaria: persona de la tercera edad en oficinas de tránsito de Boca del Río. Quiere avisar a familiares que está bien. Busca contactar a su hija, el número de contacto no funciona.",otro,baja,nahum,real
"Vecinos del Fraccionamiento Lomas de Río Medio Tres, alertan que sobre la avenida Río Era, dentro de la cochera de un domicilio hay un perro f@llEc!d0 que esta @m@rr@d0 con una cuerda. Los reportes informan que ya al menos cuatro personas han tocado a la puerta para alertar a los inquilinos, pero estos no salen. Muchas personas piden ayuda.",otro,media,nahum,real
Tragedia en Veracruz: un hombre murió electrocutado al tocar un cable de alta tensión que llevaba días colgando Vecinos piden atención urgente de autoridades.,persona_en_riesgo,alta,nahum,real
Movilización de los cuerpos de emergencia en el puente Miguel Alemán por un hombre que intenta arr0j4rs£; hay cierre de vialidades,persona_en_riesgo,alta,nahum,real
Vecinos de la colonia Lomas la conquista Clara Córdoba al norponiente de la ciudad reportan que se está incendiando una casa y piden apoyo de Bomberos ya que tratan de sofocar las llamas con paladas de tierra,incendio,alta,nahum,real
"Nuevamente gente irresponsable prendió fuego a basura acumulada en el paso de ganado (antiguo túnel) del puente Divertiplaza, en fraccionamiento Del Norte. El fuego empieza a expandirse y podría llegar a cables y postes de telefonía y de televisión por cable.",incendio,media,nahum,real
"Se registra incendio en una bodega de la calle Oriente 3 y Norte 8 de la colonia artículo 123 en Veracruz. Intensa movilización de de Bomberos Conurbados, Protección Civil y policías en la zona.",incendio,media,nahum,real
"Se acaba de caer parte del techo del nuevo mercado de artesanías aquí en el malecón, aún no llegan las autoridades y afortunadamente no hubo lesionados.",dano_estructural,baja,nahum,real
Incendio en Veracruz en este momento. Se presume combustible. Se recomienda alejarse de la zona. Solo equipos de emergencia y voluntarios con equipo.,incendio,media,nahum,real
Se incendia una casa en Dos Bahías y Viento Maestral de la colonia Astilleros en Veracruz. Ciudadanos intentan apagar el fuego mientras cuerpos de auxilio se movilizan al lugar.,incendio,media,nahum,real
Incendio de pastizal y basura en las inmediaciones de Mandinga se registró alrededor de las 8:00 de la mañana de hoy en la Riviera Veracruzana.,incendio,media,nahum,real
"Explosión de pipa provoca cierre total en la México-Veracruz Una fuerte explosión e incendio de una pipa se registró sobre la carretera federal México-Veracruz, a la altura de Hueyotlipan, provocando el cierre total de la circulación con dirección a Calpulalpan y una intensa movilización de cuerpos de emergencia.",incendio,alta,nahum,real
"Vecinos reportan que se incendió un transformador frente a la taquería Los Weros en JB Lobos,  de El Coyol, tras una descarga eléctrica en la zona conurbada. Solicitan el apoyo de las autoridades ya que los vecinos se encuentran tratando de controlar el siniestro",caida_poste_cable,media,nahum,real
"Fuerte Accidente en la carretera federal Santa Fe _ Vargas frente a la cervecera,Deja dos personas lesionadas",persona_en_riesgo,alta,nahum,real
Un auto terminó en el agua tras caer a la altura del Club de Yates sobre el bulevar Ávila Camacho. Testigos captaron el momento en que uno de los tripulantes logró salir nadando.,otro,media,nahum,real
"Personas desconocidas, de mal corazón y cero amor por los animalitos fueron a tirar en una caja a un perrito sin vida, en la esquina de Alcocer donde está la secundaria 69.",otro,baja,nahum,real
Fuerte explosión en el fraccionamiento Palma Real en Veracruz moviliza a cuerpos de emergencia la tarde de este miércoles.Se recomienda a la población evitar el área y mantenerse informada a través de canales oficiales.,incendio,media,nahum,real
"Buenos días para reportar un poste de comisión federal de electricidad aquí en la Calle 6 entre Xalapa y Orizaba, de la colonia Primero de Mayo, está en muy malas condiciones, seven todas las barrillas, con el norte que pasó empeoró y y ahora con el que se viene es un peligro para todos.",caida_poste_cable,media,nahum,real
"Se registra un fuerte accidente sobre la carretera Veracruz–Xalapa, a la altura de Nuevo Veracruz, justo afuera de AutoZone y en la entrada hacia Las Amapolas, situación que está provocando un infernal caos vehicular en la zona.",persona_en_riesgo,media,nahum,real
"Cables de media tensión quemándose y provocando incendio en unos árboles en calles del fraccionamiento Vistamar… habitantes solicitan ayuda urgente de bomberos, Protección Civil y Comisión Federal de Electricidad.",caida_poste_cable,media,nahum,real
"Las inundaciones dejaron a decenas de personas atrapadas en los techos de sus casas, esperando ser rescatadas. El nivel del agua sigue subiendo y las autoridades piden apoyo urgente con lanchas y vehículos altos.",inundacion,alta,nahum,real
"Se registró un fuerte accidente sobre la carretera México–Veracruz, a la altura de Texcoco, donde un vehículo se volcó. De acuerdo con los primeros reportes, la circulación se encuentra cargada, por lo que se exhorta a los automovilistas a extremar precauciones, reducir la velocidad y buscar vías alternas.",otro,media,nahum,real
"Un incendio registrado en las instalaciones de la Escuela Náutica de Veracruz provocó una intensa movilización de cuerpos de emergencia y elementos de la Marina. Bomberos y rescatistas trabajaron de inmediato para controlar el fuego y salvaguardar a estudiantes y personal, mientras autoridades evalúan las causas del siniestro.",incendio,media,nahum,real
"Reportan balacer4, al menos 5 personas bale4das en la comunidad de Montegordo del municipio de Tecolutla, Veracruz.",persona_en_riesgo,alta,nahum,real
Se incendia un departamento en Lomas de Río Medio Cuatro; vecinos están tratando de sofocar el siniestro en lo que llegan bomberos.,incendio,media,nahum,real
"Quema de llantas habría provocado el gran incendio en la colonia Ricardo Flores Magón en Boca del Río, el siniestro ya se avista en distintos puntos del municipio. Tome sus precauciones.",incendio,media,nahum,real
"Un incendio consumió un yate la tarde de este sábado en la zona de El Estero, en el municipio de Alvarado, Veracruz... de acuerdo con el reporte de personas que navegaban cerca, escucharon un fuerte estruendo y, minutos después, observaron cómo la embarcación comenzaba a incendiarse rápidamente",incendio,media,nahum,real
Buen día Veracruz en alerta espero puedan apoyarnos. Llevamos más de 48 horas sin luz sin respuesta en la colonia Cabo Verde. Tenemos una camioneta aquí detenida hasta que tengamos respuesta de CFE Nacional  ya que el reporte que tenemos de plano no nos hacen caso espero puedan apoyarnos. La dirección del cierre es carretera estatal Veracruz-Manlio Fanio Altamirano frente al rancho Las Maravillas.,otro,media,nahum,real
"Se registra un fuerte incendio en un terreno ubicado en la colonia Ampliación Las Bajadas. En lo que arriban bomberos, ciudadanos están tratando de sofocarlo con cubetas llenas de agua y hasta con tierra para evitar llegue a sus viviendas.",incendio,media,nahum,real
"Siguen llegando a nuestro inbox los reportes del incendio en Nuevo Veracruz, presuntamente por quema de llantas. Grandes columnas de humo se observan en la zona, circule con precaución.",incendio,media,nahum,real
"Se realiza un fuerte operativo en zona Norte en Veracruz Elementos de la Policía Ministerial , Guardia Nacional y policía estatal Causa molestia entre los vecinos y la gente que visita el centro comercial, ya que desconocen el motivo O por  razón  puede suceder y tienen miedo de que ocurra un intercambio de tiros  de alguna  gresion a ciudadanos",otro,media,nahum,real
Automovilistas y ciudadanos de las cercanías alertan que el fuego se ha extendido impidiendo el paso a los vehículos que circulan por JB Lobos,incendio,media,nahum,real
"Se incendia vehículo compacto a un costado de la Plaza del Mar, cerca del bulevar Fidel Velázquez. Ya se movilizan cuerpos de rescate y auxilio.",incendio,media,nahum,real
"Les llueve también dentro de plaza Las Palmas, ubicada en la colonia Cristóbal Colón...personal de mantenimiento hace todo lo posible por sacar el agua y evitar llegue a los negocios.",inundacion,media,nahum,real
"Nos reportan un incendio en las inmediaciones de Nuevo Veracruz, al parecer se trata de una quema de basura. Vecinos piden ayuda de los Bomberos.",incendio,media,nahum,real
"Fuerte incendio acá en Lomas del Ángel pegado a la Reserva 4, para que manden a los bomberos, es pura basura lo que se está quemando y el humo, mucha precaución.",incendio,media,nahum,real
"En este momento se quema una casa en la colonia Casas Fantasma, al norte de la ciudad de Veracruz. Vecinos y afectados solicitan ayuda urgente de los bomberos y Protección Civil. El siniestro se da en la calle Laguna y Del Golfo, en la colonia mencionada ubicada a un costado de El Renacimiento.",incendio,media,nahum,real
"Hola buenas tardes, los molesto en varios andadores del infonavit Las Vegas 1 tenemos los drenajes en mal estado,  se sale el agua sucia,  tenemos niños y ancianos, esto es un foco de infección. Nadie viene a resolver este problema.",otro,media,nahum,real
"Hay un cortocircuito en esos cables de luz, esta en cerrada seminario, atrás del fraccionamiento La Querencia, como para ir hacia valle alto y torrentes aeropuerto. Ya hicimos los reportes pero no llega nadie.",caida_poste_cable,media,nahum,real
"Una mujer encaró y retuvo a un hombre, a quien señala de acosar y agredir a su hija menor de edad",otro,media,nahum,real
"Las fuertes lluvias registradas en las últimas horas en Poza Rica, Veracruz,  han provocado el desbordamiento del río Cazones, dejando calles y viviendas bajo el agua en zonas como Las Granjas.",inundacion,media,nahum,real
"¡ALERTA MÁXIMA EN POZA RICA, VERACRUZ! El Río Cazones se desborda en minutos Inundaciones severas afectan gran parte de la ciudad. Central Camionera Estrella Blanca y ADO, Avenida Puebla... totalmente bajo el agua. Personas atrapadas, caos en las calles y daños materiales graves.",persona_en_riesgo,alta,nahum,real
"Se registra el incendio de una vivienda en la calle Artesanos, entre Donato Casas y Josefa Ortiz de Domínguez, en la colonia Villa Rica, en Boca del Río. Vecinos y elementos de la Policía ya se encuentran en el lugar intentando sofocar las llamas, mientras se espera el arribo de los cuerpos de Bomberos. Se recomienda evitar la zona y permitir el paso de las unidades de auxilio.",incendio,media,nahum,real
"Incendio de una camioneta particular en la carretera Paso del Toro-Alvarado, sobre la conocida curva de Salinas. El vehículo se encuentra en llamas a la orilla de la carpeta asfáltica, generando una densa columna de humo. Elementos de bomberos ya se dirigen hacia el punto para sofocar el siniestro. Se exhorta a la población a manejar con precaución y moderar la velocidad al circular por esta zona.",incendio,media,nahum,real
"Otra vez se descompuso el semáforo de Graciano Sánchez y Ejército Mexicano. No tarda en que pase otro accidente, siempre lo mismo en Boca del Río.",otro,media,nahum,real
CRECE EL CLAMOR CIUDADANO EN VERACRUZ POR FALTA DE APOYO TRAS INUNDACIONES Sigue aumentando el reclamo de habitantes de Veracruz ante la falta de atención por las graves afectaciones que dejaron las inundaciones recientes.,inundacion,media,nahum,real
"un incendio en las bodegas que están por Santa Rita, en la carretera federal por la Nestlé.",incendio,media,nahum,real
"En este momento de registra un voraz incendio de pastizal en los límites de los fraccionamientos Puente Moreno y Arboledas San Ramón, en el municipio de Medellin De Bravo. Solicitan urgente la presencia de Bomberos y Protección Civil local. Vecinos tienen miedo que el fuego alcance sus casas.",incendio,media,nahum,real
"Esta tarde se reportan presuntas denotaciones de armas de fuego en las instalaciones de Plaza Américas, en Boca Del Río, Veracruz. Al punto arriban cuerpos de emergencia y policiacos.",otro,alta,nahum,real
"Un fuerte incendio, presuntamente originado tras una explosión, se registró en un departamento ubicado en el clúster Palma de Abanico, dentro de un conjunto habitacional en el puerto de Veracruz, dejando un saldo de al menos seis personas L3S10N4D4S, entre ellas varios menores de edad.",persona_en_riesgo,alta,nahum,real
vecinos de la Colonia Centro informan que nuevamente personas en situación de calle provocaron este incendio en esta propiedad abandonada es avenida González esquina Alacio Pérez de la Colonia Centro en la ciudad de Veracruz.,incendio,media,nahum,real
Polvadera en la esquina de avenida Miguel Alemán y Simón Bolívar por costales de cemento tirados en medio de la calle. Vecinos y automovilistas piden ayuda de las autoridades para despejar la zona. Tome sus precauciones.,otro,media,nahum,real
"Vecinos de Tejería reportan que hoy por la mañana un poste de luz en la avnida Úrsulo Galván registró un cortocircuito y comenzó a prenderse en fuego, generando alarma en la zona. Ante esta situación, los habitantes temen quedarse sin el suministro de energía eléctrica, además del grave riesgo que el desperfecto representa para los transeúntes y las viviendas cercanas. Los colonos hacen un llamado urgente a la Comisión Federal de Electricidad (CFE) para que acuda a atender el reporte de manera prioritaria antes de que ocurra un daño mayor en el sector.",caida_poste_cable,media,nahum,real
"Vecinos  de Río Medio nos reportaron otro caso de robo de llantas en varios vehículos, ahora en el andador Río Conchos. Hoy por la mañana los habitantes notaron que sus automóviles quedaron desvalijados sobre blocks. Al revisar las cámaras de seguridad, notaron que tres hombres cometieron el robo y huyeron a bordo un vehículo rojo, alrededor de las 3:45 de la madrugada. Alertan a la ciudadanía de la zona norte de la ciudad de Veracruz para cuidar sus vehículos de los amantes de lo ajeno.",otro,baja,nahum,real
"Esta tarde se suscitó un fuerte accidente en el municipio de Alvarado, esto luego de que un automóvil perdiera el control y se estampara contra el muro de un punte, afortunadamente el automóvil no callo al río, pues con el impacto y lo macizo del muro rebotó para quedar desbaratado sobre la carpeta asfáltica. En el accidente un masculino salió severamente lesionado y dos más con golpes en tórax y en la cabeza, trasladados inmediatamente al hospital general de la ciudad y puerto de Veracruz.",persona_en_riesgo,alta,nahum,real
La Secretaría de Protección Civil de Veracruz hizo un llamado a la población para seguir los avisos y pronósticos oficiales y reportar cualquier situación de emergencia al 911,otro,baja,nahum,real
Se Registra un fuerte incendio en la reserva 3 Se solicita a bomberos para sofocar,incendio,media,nahum,real
"Hola, somos vecinos de la Riviera Veracruzana y queremos exponer  que de la Plaza Veleros ubicada en la carretera Boca del Rio- Antón Lizardo, arrojan las aguas negras a la calle y ya se imaginarán los fuertes olores fétido, además de la severa contaminación. Además de dar mal aspecto, afectan a diversos negocios de la zona.",otro,baja,nahum,real
"Hola buenos días Veracruz En Alerta, quiero reportar un hecho noticia. En el hospital de especialidades UMAE 14 Cuauhtémoc está inundado el área de archivo, mi expediente no me lo quieren entregar lo más probable está todo",otro,baja,nahum,real
"Buenas noches, acabo de pasar por la calle Leonardo pasquel, se estaba incendiando un poste de luz y sacando chispas y ya estaba pasando a los demás postes, no había gente cerca, pasó el reporte para que ojalá se pueda evitar un accidente",caida_poste_cable,media,nahum,real
Ciudadano de Veracruz fue agredido con un arma de fuego en un asalto,persona_en_riesgo,alta,nahum,real
"Reportan explosión de un ducto de Pemex, ubicado cerca de la comunidad de El Aguacate, perteneciente al municipio de Papantla, pero se ha confirmado que se trata del incendio de una granja de pollos. Cuerpos de bomberos y policíacas van al punto, se presume que halla personas lesionadas, más tarde se confirmará si hay fallecidos.",incendio,media,nahum,real
Varios lesionados por volcadura de camión de la ruta costera en bulevar Fidel Velázquez; un motociclista también fue alcanzado por la unidad,persona_en_riesgo,alta,nahum,real
"Ejecut4n a dos personas dentro de un taller de motos en el municipio de Cerro Azul, Veracruz",persona_en_riesgo,alta,nahum,real
"Tengan cuidado vecinos con estos dos ladrones, esto fue en una tienda en Hacienda El Cortijo de Tejería en ciudad de Veracruz, andan en moto, fue hoy alrededor de la 1 de la tarde.",otro,baja,nahum,real
"eligro latente en Alcocer y Lucio Gallardo Pavón, de la colonia Ortíz Rubio, pues se cayó una acometida y otros cables, los carros pasa sobre el. Esperan que las autoridades lleguen pronto a dar solución.",caida_poste_cable,media,nahum,real
Hombre de la tercera edad es atropellado sobre la avenida Ejército Mexicano,persona_en_riesgo,alta,nahum,real
Con lesiones graves resultaron dos empleados aduanales que fueron atropellados por un vehiculo militar en el centro de veracruz.,persona_en_riesgo,alta,nahum,real
Hallan sin vida a mujer dentro de una habitación del motel L'Scala; autoridades realizan las diligencias.,persona_en_riesgo,alta,nahum,real
"Emergencia en el Rodrigo Turbay por deslizamiento, una vivienda en riesgo de colapso.Una familia tuvo que salir de su vivienda ante el riesgo de colapso de la estructura, las lluvias de las últimas horas provocaron un deslizamiento que dejó en grave riesgo las bases de la casa.",deslave,alta,nahum,real
"Taxi varado por inundación en la entrada a Infonavit Las Vegas, en Veracruz",otro,baja,nahum,real
"Buenos días, favor que sea anónimo Quisiera reportar esta botadera de agua en esta casa de esquina  lleva casi 1 hora botando agua directamente en la pasada de personas y de vehículos en el callejón de la farmacia Regis… y nos dice que es agua potable ya que no genera ni espuma y que es algo repetitivo",otro,baja,nahum,real
"Siguen los incendios, al parecer provocados, habitantes de los fraccionamiento Lomas de Río Medio III, nos comparten este siniestro que los mantiene con preocupación, se encuentran a la espera de la llegada de los cuerpos de emergencias.",incendio,media,nahum,real
"Elementos de Guardia Nacional le solicitaron a los manifestantes, paso ya que viene una persona en una ambulancia en estado grave. Los manifestantes se negaban, decían que avanzara sin embargo, pues a lo largo de después de varios minutos de dialogar, decidieron abrir unos momentos un solo carril para que pasara la ambulancia.",otro,baja,nahum,real
"Se desploma avioneta que trasladaba ayuda a Poza Rica Se registró la caída de una avioneta que transportaba ayuda humanitaria hacia el municipio de Poza Rica, Veracruz, zona severamente afectada por las inundaciones.",otro,alta,nahum,real
"TRÁILER IMPACTA 2 VEHÍCULOS EN VERACRUZ Carretera Federal 140 (altura Rinconada, Emiliano Zapata)  DATOS CONFIRMADOS:  • Varios lesionados reportados (equipos de emergencia en camino).  • Tráiler involucrado → Grave accidente en zona federal.",persona_en_riesgo,alta,nahum,real
"Vecinos del Infonavit Las Brisas reportan un registro sin tapa en el cruce de las calles Víctor Sánchez Tapia y Guillermo Héctor Rodríguez, lo que representa un riesgo para automovilistas, motociclistas y peatones. Refieren que, con las lluvias la calle podría inundarse y el registro quedar oculto, aumentando el peligro de que ocurra un accidente.",otro,media,nahum,real
"Un fuerte incendio acabó con una vivienda ubicada en el Barrio de Guadalupe, en Las Vigas de Ramírez esta madrugada. Bomberos acudieron de inmediato, siendo controlada la situación tras varios minutos de maniobras. Dos personas resultaron le$ionadas y tuvieron que ser llevadas a un hospital cercano.",persona_en_riesgo,alta,nahum,real
"Disculpe. En bulevar Guerrero, de calle Veracruz para arriba, en la mera vuelta, se está tirando muchísima agua, que sale de un registro de un lote baldío. Si pudiera reportarlo. Lástima de agua que se está tirando",otro,baja,nahum,real
Reporte  Accidente de moto en la autopista Veracruz -cardel ala altura del puente de divertiplaza,otro,media,nahum,real
Solicitamos ayuda aquí en Lafragua y Horacio Díaz Correa de la colonia Zaragoza debido a que hay cables caídos y no demora en haber un accidente. Ojalá atiendan esto rápido porque los carros y las motos siguen pasando.,caida_poste_cable,media,nahum,real
"Esta noche se registró el incendio de una vivienda ubicada detrás de las tiendas 3B en Naranjos, Veracruz. Elementos del cuerpo de bomberos de Pemex ya se encuentran en el lugar realizando las labores para sofocar las llamas y evitar que el fuego se propague.",incendio,media,nahum,real
"Afectaciónes sobre la carretera Veracruz -Xalapa via libre a la altura de Tolome, un árbol cayó por las fuertes lluvias de la madrugada, PRECAUCIÓN quienes transitan por esta carretera",otro,media,nahum,real
"Debajo del puente, en el estero, se cayeron los cables de energía eléctrica de alta tensión. Los cables quedaron dentro del río, lo que representa un riesgo para la población y para quienes transitan por la zona. Se solicita la atención urgente de las autoridades correspondientes y de la comisión de electricidad para evitar un accidente mayor.",caida_poste_cable,media,nahum,real
"La mañana de este día se registró un accidente sobre la carretera Misantla–El Diamante, donde un automóvil terminó fuera de la cinta asfáltica tras salirse del camino.",otro,media,nahum,real
Motociclista sufre accidente sobre el puente Bicentenario de Ejército Mexicano con dirección a La Boticaria. Circule con precaución.,persona_en_riesgo,media,nahum,real
"En el callejón Privada Águilas del Fraccionamiento Gaviotas de PozaRica; se reporta que fue hallada una persona sin vid4 entre el agua y los escombros, autoridades policíacas se trasladan al sitio.",persona_en_riesgo,alta,nahum,real
"Las playas de Antón Lizardo, en Alvarado en estos momentos se encuentra llenas de chapopote, ya dimos aviso a las autoridades porque es mucho lo que está llegando.",otro,baja,nahum,real
"Vecinos de la colonia Revolución reportan que una camioneta Mitsubishi color negro, presuntamente atropelló a un gatito en la calle Centenario de Juárez, dejándolo gravemente lesionado. La dueña del animalito pide que la conductora del vehículo se haga responsable de los gastos veterinarios, ya que el gato no puede caminar tras el impacto y requiere curaciones de inmediato. La dueña solicita empatía y apoyo para que el caso no quede sin atender, así como mayor precaución al conducir por la zona.",otro,baja,nahum,real
"Un seguidor de Veracuz en Alerta nos reporta que desconocidos provocaron un incendio al quemar basura en el camellón de avenida Díaz Mirón, mismo que se estaba saliendo de control. Un conductor de autobuses Ulúa se detuvo para intentar controlar el fuego con un extintor.",incendio,media,nahum,real
